order,Date,Price,Open,High,Low,Vol.,Change %
546,"Dec 07, 2017","1,303.70","1,317.10","1,317.10","1,304.50",0.09K,-1.00%
545,"Dec 08, 2017","1,298.80","1,301.50","1,301.50","1,298.10",0.28K,-0.38%
544,"Dec 11, 2017","1,297.50","1,298.60","1,298.60","1,293.40",0.02K,-0.10%
543,"Dec 12, 2017","1,292.60","1,296.70","1,296.80","1,289.40",0.05K,-0.38%
542,"Dec 13, 2017","1,299.40","1,299.40","1,299.40","1,299.40",0.03K,0.53%
541,"Dec 14, 2017","1,307.90","1,305.60","1,309.60","1,303.40",0.02K,0.65%
540,"Dec 15, 2017","1,308.10","1,312.10","1,312.10","1,310.00",0.00K,0.02%
539,"Dec 18, 2017","1,316.30","1,311.90","1,312.60","1,311.90",0.00K,0.63%
538,"Dec 19, 2017","1,315.50","1,315.50","1,315.50","1,315.50",0.01K,-0.06%
537,"Dec 20, 2017","1,321.10","1,317.90","1,321.80","1,317.90",0.02K,0.43%
536,"Dec 21, 2017","1,322.00","1,319.50","1,319.50","1,319.50",0.03K,0.07%
535,"Dec 22, 2017","1,330.50","1,322.00","1,329.10","1,322.00",0.00K,0.64%
534,"Dec 25, 2017","1,277.90","1,278.90","1,279.50","1,277.90",-,-3.95%
533,"Dec 26, 2017","1,339.20","1,337.00","1,337.90","1,337.00",0.00K,4.80%
532,"Dec 27, 2017","1,343.00","1,341.00","1,341.00","1,341.00",0.00K,0.28%
531,"Dec 28, 2017","1,350.10","1,346.00","1,346.40","1,343.30",0.13K,0.53%
530,"Dec 29, 2017","1,362.60","1,362.60","1,362.60","1,362.60",0.02K,0.93%
529,"Jan 01, 2018","1,308.70","1,305.80","1,309.70","1,304.60",-,-3.96%
528,"Jan 02, 2018","1,370.50","1,370.50","1,370.50","1,370.50",0.10K,4.72%
527,"Jan 03, 2018","1,374.20","1,372.00","1,372.00","1,369.00",0.02K,0.27%
526,"Jan 04, 2018","1,377.40","1,363.40","1,375.60","1,362.70",0.01K,0.23%
525,"Jan 05, 2018","1,378.40","1,377.80","1,377.80","1,377.80",0.01K,0.07%
524,"Jan 08, 2018","1,376.80","1,376.80","1,376.80","1,376.80",0.03K,-0.12%
523,"Jan 09, 2018","1,370.00","1,368.10","1,368.10","1,368.10",0.03K,-0.49%
522,"Jan 10, 2018","1,377.00","1,377.00","1,377.00","1,377.00",0.13K,0.51%
521,"Jan 11, 2018","1,380.10","1,380.10","1,380.10","1,380.10",0.07K,0.23%
520,"Jan 12, 2018","1,394.40","1,394.40","1,394.40","1,394.40",0.03K,1.04%
519,"Jan 14, 2018","1,337.40","1,337.70","1,338.60","1,336.40",-,-4.09%
518,"Jan 15, 2018","1,341.80","1,337.30","1,344.90","1,337.00",-,0.33%
517,"Jan 16, 2018","1,396.80","1,391.00","1,391.30","1,391.00",0.01K,4.10%
516,"Jan 17, 2018","1,399.70","1,399.70","1,399.70","1,399.70",0.01K,0.21%
